iter	Passed	Remaining
0	2	246
1	4	238
2	7	227
3	8	207
4	10	205
5	12	202
6	15	201
7	17	199
8	19	197
9	21	194
10	23	192
11	26	190
12	28	188
13	30	186
14	79	451
15	81	429
16	84	410
17	86	393
18	88	377
19	90	363
20	93	351
21	95	338
22	97	327
23	100	317
24	102	307
25	104	298
26	107	289
27	109	281
28	111	274
29	114	266
30	116	259
31	118	252
32	121	247
33	123	240
34	126	234
35	128	228
36	130	222
37	135	220
38	137	214
39	139	209
40	141	204
41	142	197
42	144	191
43	147	187
44	150	184
45	153	179
46	155	175
47	157	170
48	159	166
49	162	162
50	164	158
51	166	154
52	169	150
53	171	146
54	172	141
55	174	137
56	177	133
57	179	129
58	181	126
59	183	122
60	185	118
61	187	115
62	190	111
63	192	108
64	193	104
65	195	100
66	197	97
67	198	93
68	200	90
69	202	86
70	203	83
71	205	79
72	207	76
73	208	73
74	211	70
75	212	67
76	214	64
77	216	60
78	218	58
79	220	55
80	221	51
81	223	49
82	225	46
83	226	43
84	228	40
85	229	37
86	231	34
87	233	31
88	234	29
89	236	26
90	238	23
91	239	20
92	241	18
93	242	15
94	244	12
95	252	10
96	254	7
97	256	5
98	258	2
99	260	0
